p1,-1.396517,1.271501,16
p2,-1.991538603,8.288542315,24
p3,5.499463709,2.052971168,7
p4,-7.868156199,-4.639183037,17
p5,-8.322827985,-6.241922594,7
p6,-5.206084266,8.959991262,19
p7,-1.558890031,10.7248995,5
p8,4.72265174,2.009952517,10
p9,7.137293963,2.019176071,7
p10,-6.380937279,-8.822607284,12
p11,5.64170369,1.475598846,7
p12,-6.968000479,-4.669419867,4
p13,2.897657144,1.427127885,26
p14,-6.006810108,-6.148028642,15
p15,-2.448967413,11.47752824,21
p16,-7.883066095,-7.211461892,10
p17,-1.626864561,8.562195795,12
p18,5.431738147,1.402529254,25
p19,-7.849898517,-8.232975482,4
p20,5.211885115,1.268441248,3
p21,-0.660241528,10.14085116,7
p22,-8.590230546,-7.273199794,6
p23,-2.142599377,8.074406342,20
p24,5.761740341,1.786490722,24
p25,-3.348415146,8.705073752,27
p26,-0.624611317,10.55752966,13
p27,-6.643403545,-7.819265163,18
p28,3.828877973,0.859123234,30
p29,4.999617811,1.474535788,14
p30,-7.145187704,-5.51000774,28
p31,-7.336324806,-6.541116079,5
p32,5.375500833,3.754968593,30
p33,-2.558094807,7.609096281,21
p34,-2.348623642,9.017332148,12
p35,4.892447682,3.357701732,14
p36,-7.100355948,-8.212788034,8
p37,-7.42000353,-7.681593515,22
p38,-3.158570661,10.33559016,31
p39,-8.00004511,-7.63497579,8
p40,3.309173705,-0.204798048,6
p41,-2.935555219,10.16273184,24
p42,-3.498802443,8.888499208,27
p43,-1.127038632,9.662996016,8
p44,2.793305788,1.544515157,1
p45,4.115311822,3.325372363,31
p46,3.646289321,2.109094251,13
p47,3.397632303,0.84758257,3
p48,-1.477353084,7.528725755,2
p49,-5.777889329,-6.388116106,6
p50,-5.409842932,-7.502379816,2
p51,-6.72087114,-5.724102924,30
p52,-3.155770507,7.932738125,25
p53,4.957332097,1.64030928,26
p54,-4.733802266,-8.425045515,7
p55,4.912997271,0.974957425,7
p56,-7.162779076,-8.905149507,3
p57,-7.600082262,-6.468751962,28
p58,-2.411130084,10.31015791,23
p59,6.560246338,0.750274664,26
p60,4.786814135,1.451038114,23
p61,5.466994265,2.131143996,11
p62,-7.957347937,-6.536951039,17
p63,-2.295103879,7.768547349,2
p64,-6.64576209,-5.715118711,28
p65,-6.544572839,-6.315320487,9
p66,3.258287118,0.174954945,7
p67,-6.615372428,-6.920443503,25
p68,-2.251445083,7.772525553,9
p69,-6.434731296,-6.029390199,10
p70,-8.133133204,-7.095064431,24
p71,-2.699880024,9.231719001,29
p72,-2.868966269,7.688238442,3
p73,-4.280804291,-8.604171404,2
p74,6.14900985,2.578775917,2
p75,-2.952241644,8.534793161,21
p76,-1.57351923,10.28584122,25
p77,5.710243996,3.245062106,16
p78,-5.513237779,-7.617846298,14
p79,-1.953684977,8.095599617,18
p80,-6.66190899,-7.704759934,9
p81,4.324582181,1.032146983,4
p82,-8.08354084,-6.654852911,21
p83,3.281304821,0.893433363,24
p84,5.150003197,1.323804864,31
p85,4.268020954,1.244708062,2
p86,4.897077807,1.732504509,6
p87,-0.448449698,10.76962697,10
p88,-5.300189299,-7.491869233,16
p89,-1.634680549,8.364520901,25
p90,-7.595140177,-5.758610381,1
p91,-2.340542951,9.456226778,29
p92,6.316271863,1.027662804,17
p93,-6.788459044,-6.091905452,25
p94,-2.228205755,8.391586608,10
p95,5.327811808,1.360186413,8
p96,-3.82943083,10.84574489,9
p97,-6.825575528,-6.754561007,8
p98,-0.643423112,9.488119049,6
p99,5.395544675,1.751281413,12
p100,-2.830832674,11.09103411,17
p101,4.525076587,2.53994141,12
p102,3.723604736,3.328612485,13
p103,-7.104978676,-5.213446334,6
p104,5.618300948,2.49531223,18
p105,6.303611668,2.27841281,6
p106,-7.052002149,-6.165377866,18
p107,-6.766171151,-6.694271964,16
p108,3.432857188,0.897857291,3
p109,-8.842916339,-6.419284728,16
p110,5.41503433,2.52620977,8
p111,4.524769142,1.627250355,11
p112,-2.004210344,9.880041322,28
p113,-6.736636556,-8.606120212,29
p114,4.949773616,0.699584135,3
p115,-0.896919365,10.32920058,11
p116,-1.622310233,8.593524335,30
p117,-2.032839854,9.519756287,28
p118,-2.874519174,9.198966434,1
p119,4.868953524,3.047487697,21
p120,4.032406549,1.568807691,18
p121,-2.699236658,8.656840705,21
p122,-6.241083874,-5.182485814,21
p123,-5.490962671,-6.737731681,17
p124,-0.662560627,7.944201362,6
p125,-1.480041986,9.486883611,26
p126,5.097203117,4.071391158,23
p127,4.026291231,2.169410625,16
p128,-5.696078089,-8.044772942,12
p129,-1.116732323,8.764239614,4
p130,-7.458578949,-7.776477141,7
p131,-6.488417864,-6.298327823,20
p132,-5.908214833,-8.175368214,8
p133,-7.867493101,-6.157071654,19
p134,3.581438203,-0.524891334,7
p135,-7.584737711,-8.229714849,30
p136,3.569687273,3.692210297,19
p137,-7.520792121,-7.14517459,14
p138,-5.527587825,-4.780702073,4
p139,5.821769929,2.454077777,13
p140,4.009853857,2.705125186,30
p141,5.497893032,1.144973411,12
